type,grape,country,region,memo,清澄度,輝き,色調,濃淡,粘性,外観の印象,第一印象,果実・花・植物,香辛料・芳香・化学物質,香りの印象,アタック,甘み,酸味,タンニン分,苦味,バランス,アルコール,余韻,評価,適正温度,グラス
red,ピノ・ノワール,ニュージーランド,,デカンタージュ：必要なし　／　出題：2018年 ニュージーランド,澄んだ,輝きのある,縁が明るい、ルビー、ラズベリーレッド,明るい、やや明るい,やや強い、強い,若々しい、成熟度が高い,開いている、チャーミングな、華やかな、深みのある,イチゴ、ラズベリー、バラ、牡丹、ゼラニウム、紅茶、土,鉄分、シナモン、ナツメグ、ヴァニラ、ロースト、なめし皮,若々しい、第1アロマが強い、木樽からのニュアンス,やや強い,ソフトな、まろやか,なめらかな、生き生きとした,緻密、サラサラとした、シルキーな、溶け込んだ,,ジューシーな、流れるような、ふくよかな,13.0 - 13.9%,やや長い、長い,シンプル、フレッシュ感を楽しむ／成熟度が高く、豊か,14 - 16度,中庸、大ぶり
red,シラー／シラーズ,フランス,,デカンタージュ：事前（30分前）、事前（60分前）　／　出題：2018年 フランス,澄んだ,輝きのある,黒みを帯びた、縁が明るい、ガーネット、ダークチェリーレッド,濃い,強い,若い状態を抜けた、成熟度が高い、濃縮感が強い,開いている、強い、濃縮感がある、深みのある、複雑な,ブルーベリー、カシス、ブラックベリー、スミレ、ドライハーブ、黒オリーブ、土,黒胡椒、甘草、生肉、鉄分、ヴァニラ、動物的なニュアンス,第1アロマが強い、木樽からのニュアンス,強い、インパクトのある,ドライ、ソフトな,なめらかな、生き生きとした,収斂性のある、力強い、緻密,,骨格のしっかりした、ジューシーな、力強い,13.0 - 13.9%,長い,濃縮し、力強い／エレガントで、余韻の長い／複雑性があり、引き締まった,17 - 20度,大ぶり
red,シラー／シラーズ,オーストラリア,,出題：2021年 オーストラリア,澄んだ、深みのある,輝きのある、艶のある,紫がかった、ガーネット、ダークチェリーレッド,やや濃い、濃い,やや強い、強い,若々しい、成熟度が高い、濃縮感が強い,開いている、強い、濃縮感がある、複雑な,ブルーベリー、カシス、ブラックベリー、ブラックチェリー、スミレ、メントール、ローリエ、ドライハーブ、ユーカリ、黒オリーブ、土,黒胡椒、シナモン、ナツメグ、ヴァニラ、ロースト、煙・燻製、樹脂、コーヒー、チョコレート,若々しい、第1アロマが強い、木樽からのニュアンス,強い,まろやか、豊かな,なめらかな、しなやかな,力強い、溶け込んだ,,骨格のしっかりした、豊満な、力強い、ふくよかな,13.0 - 13.9%,やや長い、長い,成熟度が高く、豊か／濃縮し、力強い,17 - 20度,中庸、大ぶり
red,カベルネ・ソーヴィニヨン,アメリカ,,出題：2021年 アメリカ,深みのある,輝きのある、艶のある,紫がかった、黒みを帯びた、ガーネット、ダークチェリーレッド,濃い、非常に濃い,強い,若々しい、成熟度が高い、濃縮感が強い,開いている、強い、濃縮感がある、深みのある、複雑な,カシス、ブラックベリー、ブラックチェリー、スミレ、シダ、ローリエ、杉、針葉樹、ドライハーブ,甘草、丁子、シナモン、ナツメグ、ヴァニラ、ロースト、グリエ、煙・燻製、チョコレート,若々しい、第1アロマが強い、木樽からのニュアンス,強い、インパクトのある,豊かな,なめらかな、しなやかな,力強い、溶け込んだ,,骨格のしっかりした、力強い、ふくよかな,13.0 - 13.9%,やや長い,成熟度が高く、豊か／濃縮し、力強い／複雑性があり、引き締まった,17 - 20度,中庸、大ぶり
red,メルロ,アメリカ,,デカンタージュ：必要なし、事前（30分前）　／　出題：2017年 アメリカ,澄んだ,輝きのある、艶のある,黒みを帯びた、ガーネット、ダークチェリーレッド,やや濃い、濃い,やや強い、強い,若い状態を抜けた、成熟度が高い、濃縮感が強い,開いている、強い、濃縮感がある、深みのある,ブルーベリー、カシス、ブラックベリー、ブラックチェリー、牡丹、土,甘草、生肉、丁子、シナモン、ナツメグ、ヴァニラ、ロースト、グリエ、煙・燻製、コーヒー,第1アロマが強い、木樽からのニュアンス,強い、インパクトのある,豊かな,なめらかな,力強い、緻密,,豊満な、ジューシーな、力強い、ふくよかな,13.0 - 13.9%,やや長い、長い,成熟度が高く、豊か／濃縮し、力強い,17 - 20度,大ぶり
red,メルロ,日本,,デカンタージュ：必要なし　／　出題：2018年 日本,澄んだ,輝きのある、艶のある,縁が明るい、ルビー、ラズベリーレッド,やや明るい、やや濃い,やや軽い,若い状態を抜けた、成熟度が高い,控えめ、チャーミングな、深みのある,ラズベリー、ブルーベリー、干しプラム、メントール、シダ、ドライハーブ、タバコ、キノコ、土,ナツメグ、ヴァニラ、ロースト、乾いた肉、なめし皮,熟成感が現れている、第1アロマが強い、木樽からのニュアンス,やや強い,ソフトな、まろやか,なめらかな、しなやかな,サラサラとした、溶け込んだ,,スマートな、流れるような,11.0 - 11.9%、12.0 - 12.9%,やや長い、長い,エレガントで、余韻の長い,14 - 16度、17 - 20度,中庸
red,カベルネ・フラン,フランス,,デカンタージュ：必要なし　／　出題：2018年 フランス,澄んだ、深みのある,輝きのある、艶のある,紫がかった、ルビー、ラズベリーレッド,やや濃い、濃い,やや強い、強い,若々しい、成熟度が高い,開いている、強い、華やかな,ラズベリー、ブルーベリー、カシス、スミレ、ピーマン、メントール、シダ、針葉樹、土,甘草、生肉、シナモン、ナツメグ、ロースト,若々しい、第1アロマが強い,やや強い、強い,ドライ、まろやか,なめらかな,緻密、溶け込んだ,,豊満な、ふくよかな,13.0 - 13.9%,やや長い,シンプル、フレッシュ感を楽しむ／成熟度が高く、豊か,14 - 16度,中庸
red,グルナッシュ,フランス,,デカンタージュ：必要なし、事前（30分前）　／　出題：2021年 フランス,澄んだ,輝きのある,紫がかった、ルビー、ラズベリーレッド,やや濃い、濃い,やや強い、強い,若々しい、成熟度が高い、濃縮感が強い,開いている、強い、濃縮感がある,ブルーベリー、カシス、ブラックチェリー、干しプラム、ローリエ、ドライハーブ、トマト、黒オリーブ、紅茶,甘草、鉄分、丁子、シナモン、ナツメグ、ロースト、乾いた肉、グリエ、煙・燻製、チョコレート,第1アロマが強い、木樽からのニュアンス,強い、インパクトのある,ドライ,なめらかな、しなやかな,力強い,,骨格のしっかりした、力強い,13.0 - 13.9%,やや長い、長い,成熟度が高く、豊か／濃縮し、力強い,17 - 20度,中庸、大ぶり
red,マルベック,アルゼンチン,,デカンタージュ：必要なし、事前（30分前）　／　出題：2020年 アルゼンチン,澄んだ、深みのある,輝きのある、艶のある,紫がかった、ガーネット、ダークチェリーレッド、ルビー、ラズベリーレッド,やや濃い、濃い,やや強い、強い,若々しい、成熟度が高い、濃縮感が強い,開いている、強い、濃縮感がある,カシス、ブラックベリー、ブラックチェリー、スミレ、ドライハーブ、タバコ、紅茶、土,甘草、生肉、丁子、シナモン、ナツメグ、ヴァニラ、樹脂、コーヒー,若々しい、第1アロマが強い、木樽からのニュアンス,やや強い,ドライ、豊かな,爽やかな、直線的、生き生きとした,力強い,,骨格のしっかりした、ジューシーな、力強い,13.0 - 13.9%,やや長い,成熟度が高く、豊か／濃縮し、力強い,17 - 20度,中庸、大ぶり
red,サンジョヴェーゼ,イタリア,,出題：2020年 イタリア,澄んだ、深みのある,輝きのある、艶のある,オレンジがかった、縁が明るい、ルビー、ラズベリーレッド,やや明るい,やや強い、強い,若い状態を抜けた、成熟度が高い,開いている、複雑な,ラズベリー、ブルーベリー、カシス、干しプラム、乾燥イチジク、バラ、スミレ、ゼラニウム、ドライハーブ、トマト、黒オリーブ、タバコ、キノコ,甘草、鉄分、丁子、シナモン、ナツメグ、ヴァニラ、乾いた肉、なめし皮、動物的なニュアンス,熟成感が現れている、第1アロマが強い、木樽からのニュアンス,やや強い、強い,ドライ,なめらかな、しなやかな,力強い、緻密,,骨格のしっかりした、堅固な、力強い,13.0 - 13.9%,やや長い、長い,成熟度が高く、豊か／エレガントで、余韻の長い／複雑性があり、引き締まった,14 - 16度、17 - 20度,中庸、大ぶり
red,ネッビオーロ,イタリア,,デカンタージュ：必要なし、直前　／　出題：2017年 イタリア,澄んだ,輝きのある、艶のある,オレンジがかった、ルビー、ラズベリーレッド,明るい、やや明るい,やや強い、強い,若い状態を抜けた、成熟度が高い、やや熟成した,開いている、深みのある、複雑な,ラズベリー、干しプラム、乾燥イチジク、バラ、ドライハーブ、タバコ、紅茶、キノコ、土、タール,鉄分、シナモン、ナツメグ、なめし皮、動物的なニュアンス,熟成感が現れている、第1アロマが強い,やや強い、強い,ドライ,力強い、なめらかな,力強い、緻密,,骨格のしっかりした、力強い,13.0 - 13.9%,長い,成熟度が高く、豊か／ポテンシャルがある,17 - 20度,大ぶり
